35,صلاح الدين,مشروع مجاري بيجي ( المرحلة الثانية ),غير مدرج,غير مؤشر,90,دعوى,جداول كميات,,✅,,,,,,,,,,,,
36,,دراسة وتصاميم وتنفيذ وتشغيل وصيانة محطة معالجة الدجيل,غير مدرج,غير مؤشر,30,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
,,الديوم,مدرج,مؤشر,93.7,دعوى,جداول كميات,,✅,✅,✅,✅,✅,13/4/2025,13/4/2025,,,,,,
37,كربلاء,محطة معالجة الحر م2,غير مدرج,غير مؤشر,189,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
38,,مشروع مجاري عين تمر,غير مدرج,غير مؤشر,48,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
39,,مشروع مجاري الحسينية,غير مدرج,غير مؤشر,46,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
40,,الخط الناقل للاحياء السكنية خلف الحزام الاخضر وصولا الى محطة المعالجة,غير مدرج,غير مؤشر,109.1,اعلان,جداول كميات,,,,,,,,,,,,,,
41,كركوك,مشروع مجاري قضاء الحويجة / محافظة كركوك (البنى التحتية),مدرج,مؤشر,150.8,دعوى,جداول كميات,,✅,✅,✅,✅,✅,19\3\2025,19\3\2025,✅,✅,✅,✅,✅,
42,,مشروع مجاري قضاء الدبس / محافظة كركوك ( البنى التحتية,غير مدرج,غير مؤشر,163.7,دعوى,تصميم و تنفيذ,,,,,,,,,,,,,,
43,,مشروع مجاري قضاء التون كوبري / محافظة كركوك (البنى التحتية ),غير مدرج,غير مؤشر,97,دعوى,تصميم و تنفيذ,,,,,,,,,,,,,,
44,,مشروع مجاري كركوك الموحد,غير مدرج,غير مؤشر,77,اعلان,جداول كميات,,,,,,,,,,,,,,
45,موصل,مجاري قضاء تلعفر / نينوى,غير مدرج,غير مؤشر,375.3,اعلان,جداول كميات,,,,,,,,,,,,,,
46,ميسان,تصميم وتنفيذ مجاري قضائي (العزيرة علي الغربي) ومحطة رفع وسطية لربط الخط الناقل مع محطة المعالجة / محافظة ميسان (البنى التحتية) باسلوب (تصميم + تتفيذ),مدرج,مؤشر,76.5,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
47,,مشروع مجاري قلعة صالح,مدرج,مؤشر,70.9,اعلان,جداول كميات,,,,,,,,,,,,,,
48,,محطة معالجة مركز مدينة العمارة,قيد الادراج,,168,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
49,,مجاري قضاء المجر الكبير,قيد الادراج,,56,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
50,النجف,مجاري مركز قضاء المناذرة/ محافظة النجف الاشرف ( البنى التحتية),مدرج,مؤشر,75.8,دعوى,جداول كميات,,,,,,,,,,,,,,
51,,مجاري الحيرة / محافظة النجف الاشرف ( البنى التحتية),مدرج,مؤشر,38.5,اعلان,جداول كميات,,,,,,,,,,,,,,
52,,مجاري العباسية / محافظة النجف الاشرف (البنى التحتية),مدرج,مؤشر,38.6,اعلان,جداول كميات,,,,,,,,,,,,,,
53,,مجاري الحرية / محافظة النجف الاشرف (البنى التحتية),مدرج,مؤشر,44.2,اعلان,جداول كميات,,,,,,,,,,,,,,
54,,مشروع مجاري القادسية / محافظة النجف الاشرف (البنى التحتية),مدرج,مؤشر,22.6,اعلان,جداول كميات,,,,,,,,,,,,,,
